table_name,rows_out,timestamp
companies,93,2026-06-19 08:56:53.137518
profitandloss,1277,2026-06-19 08:56:53.138417
balancesheet,1313,2026-06-19 08:56:53.139234
cashflow,1188,2026-06-19 08:56:53.139940
analysis,21,2026-06-19 08:56:53.140528
documents,1586,2026-06-19 08:56:53.141569
prosandcons,17,2026-06-19 08:56:53.142166
sectors,92,2026-06-19 08:56:53.142760
stock_prices,5520,2026-06-19 08:56:53.144110
market_cap,552,2026-06-19 08:56:53.144753
financial_ratios,1184,2026-06-19 08:56:53.145605
peer_groups,56,2026-06-19 08:56:53.146210
